Varies per block?       ,    1,Unit    ,k$     ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,    9
Stag,Seq.,Blck,Regaseificacao Bahia,Regaseificacao Pecem,Regaseificacao Sergipe,Regaseificacao Acu,Regaseificacao Santos,Regaseificacao Babitonga (TGS),Regaseificacao Barcarena,Regaseificacao Suape,Regaseificacao B. Guanabara
   8,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
   8,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
   8,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
   9,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
   9,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
   9,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
  10,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
  10,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
  10,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
  11,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
  11,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
  11,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
  12,   1,   1,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
  12,   1,   2,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
  12,   1,   3,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000       
